identifier,financing amount
eritrea-national-programme-action-napa,200000
democratic-republic-congo-national-progamme-action-napa,200000
chad-national-adaptation-programme-action-napa,200000
cape-verde-national-adaptation-programme-action-napa,200000
cambodia-national-adaptation-programme-action-napa,200000
burundi-national-adaptation-programme-action-napa,200000
burkina-faso-national-adaptation-programme-action-napa,200000
bhutan-national-adaptation-programme-action-napa,200000
benin-national-adaptation-programme-action-napa,200000
bangladesh-national-adaptation-programme-action-napa,200000
spa-community-based-adaptation-bolivia,224192
spa-community-based-adaptation-bangladesh,240502
spa-community-based-adaptation-samoa,242200
spa-community-based-adaptation-jamaica,245965
spa-cba-namibia-harnessing-coping-strategies-holistic-approach-community-adaptation-climate,250000
spa-community-based-adaptation-niger,271174
spa-community-based-adaptation-namibia,295954
spa-community-based-adaptation-morocco,301166
spa-community-based-adaptation-viet-nam,350000
trust-costa-ricas-second-national-communication,350000
trust-china-initial-national-communication,350000
ldcf-niger,350000
montenegros-second-national-communication-progress,390000
tf-seychelles,400000
trust-serbia-initial-national-communication-2010,400000
trust-serbia-second-national-communication,405000
trust-yemen-second-national-communication,405000
trust-tuvalu-second-national-communication,405000
spa-community-based-adaptation-kazakhstan,408890
trust-sri-lanka-second-national-communication,410000
trust-bolivia-second-national-communication,410000
trust-bhutan-second-national-communication-2011,410000
trust-benin-second-national-communication,410000
trust-belizes-second-national-communication-2011,410000
trust-azerbaijans-second-national-communication,410000
trust-armenia-second-national-communication,410000
trust-antigua-and-barbuda-second-national-communication-2009,410000
trust-algeria-second-national-communication-2010,410000
trust-albania-second-national-communication-2009,410000
surinames-second-national-communication-progress,420000
sudans-second-national-communication-progress,420000
solomon-islands-second-national-communication-progress,420000
sierra-leones-second-national-communication-progress,420000
seychelles-second-national-communication-progress,420000
turkeys-second-national-communication-progress,420000
s%C3%A3o-tom%C3%A9-and-pr%C3%ADncipes-second-national-communication-progress,420000
saint-vincent-and-gernadines-second-national-communication-progress,420000
saint-lucias-second-national-communication-december-2011,420000
saint-kitts-and-nevis-second-national-communication-progress,420000
togos-second-national-communication-november-2010,420000
philippines-second-national-communication-progress,420000
thailands-second-national-communication-march-2011,420000
papua-new-guineas-second-national-communication-progress,420000
paraguays-second-national-communication-progress,420000
tajikistans-second-national-communication-2008,420000
panamas-second-national-communication-2011,420000
syrias-second-national-communication-progress,420000
naurus-second-national-communication-progress,420000
micronesias-second-national-communication-progress,420000
marshall-islands-second-national-communication,420000
malis-second-national-communication-june-2011,420000
lao-pdrs-second-national-communication-progress,420000
kiribatis-second-national-communication-progress,420000
honduras-second-national-communication-progress,420000
saudi-arabias-second-national-communication-october-2011,420000
guatemalas-second-national-communication-progress,420000
samoas-second-national-communication-2009,420000
grenadas-second-national-communication-progress,420000
chads-second-national-communication-progress,420000
cambodias-second-national-communication-progress,420000
gabons-second-national-communication-november-2011,420000
eritreas-second-national-communication-progress,420000
el-salvadors-second-national-communication-progress,420000
domincas-second-national-communication-progress,420000
cubas-second-national-communication-progress,420000
cook-islands-second-national-communication-progress,420000
burkina-fasos-second-national-communication-progress,420000
botswanas-second-national-communication-progress,420000
barbados-second-national-communication-progress,420000
bangladeshs-second-national-communication-progress,420000
nigers-second-national-communication-december-2009,420000
nicaraguas-second-national-communication-june-2011,420000
namibias-second-national-communication-october-2011,420000
mexicos-second-national-communication-july-2001,420000
maltas-second-national-communication-may-2010,420000
malaysias-second-national-communication-april-2011,420000
malawis-second-national-communication-october-2011,420000
macedonias-second-national-communication-december-2008,420000
lebanons-second-national-communication-2011,420000
kyrgyzstans-second-national-communication-2009,420000
kazakhstans-second-national-communication-2009,420000
jordans-second-national-communication-2009,420000
trust-zambia-second-national-communication,455000
mainstreaming-ge-aspects-planning-and-monitoring-processes-nhdi-morocco,460000
trust-swaziland-second-national-communication,460000
moroccos-second-national-communication-april-2010,460000
mainstreaming-multilateral-environmental-agreements-environmental-legislation-nicaragua,470000
community-learning-capacity-building-global-environmental-management-poverty-reduction,470000
piloting-natural-resource-valuation-within-environmental-impact-assessments-jamaica,470000
strengthening-institutional-capacities-coordinating-multi-sectoral-environmental-policies,470000
nigerias-second-national-communication-progress,470000
guyanas-second-national-communication-progress,470000
improving-capacity-towards-conventions-implementation-through-institutional-strengthening,480000
strengthening-coordination-effective-environmental-management-streem-philippines,480000
strengthening-environmental-fiscal-reform-national-and-global-environment-management,480000
developing-policy-relevant-capacity-implementation-global-environmental-conventions-jordan,480000
establishing-ghana-environmental-conventions-coordination-authority-gecca,480000
strengthening-monitoring-reporting-system-multilateral-environmental-agreements-egypt,480000
enhancing-global-environmental-management-bhutans-local-governance-system,480000
capacity-building-optimization-information-and-monitoring-system-armenia,480000
tf-lao-pdr,500000
capacity-building-environmental-policy-institutions-integration-global-environment,500000
integrating-global-environmental-issues-bulgaria%E2%80%99s-regional-development-process,500000
tf-kiribati,547000
tf-samoa,550000
tf-cote-d%E2%80%99ivoire,550000
sccf-piloting-climate-change-adaptation-protect-human-health-uzbekistan,550000
sccf-piloting-climate-change-adaptation-protect-human-health-kenya,550000
sccf-piloting-climate-change-adaptation-protect-human-health-jordan,550000
sccf-piloting-climate-change-adaptation-protect-human-health-fiji,550000
sccf-piloting-climate-change-adaptation-protect-human-health-china,550000
sccf-piloting-climate-change-adaptation-protect-human-health-bhutan,550000
sccf-piloting-climate-change-adaptation-protect-human-health-barbados,550000
dc-colombia-tacc,650000
dc-uruguay-tacc,690000
tf-bangladesh,726000
bf-pacc-vanuatu,750000
bf-pacc-tuvalu,750000
bf-pacc-si,750000
bf-pacc-samoa,750000
bf-pacc-png,800000
bf-pacc-rmi,800000
bf-pacc-palau,820000
tf-togo,847000
sccf-extreme-weather-thailand,870000
tf-sri-lanka,880000
tf-solomon-islands,935000
spa-agricultural-biodiversity-tajikistan,950000
sccf-cwdcc-mozambique,960000
bf-pacc-tokelau,964775
tf-costa-rica,980000
tf-ukraine,990000
sccf-ews-tanzania,1000000
spa-coastal-adaptation-uruguay,1000000
bf-pacc-fsm,1000000
bf-pacc-fiji,1000000
sccf-farming-philippines,1050000
tf-burkina-faso,1067000
ldcf-tuvalu,1070000
tf-suriname,1078000
bf-pacc-niue,1249775
bf-pacc-cook-islands,1249775
ldcf-climate-resilient-tourism-maldives,1650438
sccf-water-management-swaziland,1670000
sccf-health-ghana,1720000
perus-second-national-communication-september-2010,1850000
ldcf-cambodia,1850000
bf-adaptation-strategies-grenada,1936830
sccf-cwdcc-zimbabwe,1938000
ldcf-tourism-samoa,1950000
spa-farming-namibia,1960000
naps-ldcs,2000000
ldcf-samoa-iccrahs,2050000
ldcf-agriculture-mali,2340000
sccf-kaccal-kenya,2350000
ldcf-agriculture-liberia,2381400
ldcf-samoa-iccrifs,2400000
bf-pacc-tonga,2457232
sccf-climate-change-risk-management-azerbaijan,2700000
ldcf-food-security-car,2780000
sccf-cwdcc-ethiopia,2870000
ldcf-adaptative-capacity-burkina-faso,2900000
af-turkmenistan,2929500
ldcf-water-sierraleone,2940000
ldcf-climate-resilience-guinea,2970000
spa-albania,2994500
sccf-water-ecuador,3000000
ldcf-sudan,3000000
ldcf-drc,3000000
ldcf-cape-verde,3000000
sccf-post-conflict-recovery-sri-lanka,3121818
spa-acc-west-africa,3300000
tuvalu-napa,3300000
ldcf-coastal-resilience-liberia,3300000
ldcf-cba-bangladesh,3300000
trust-brazil-second-national-communication,3400000
sccf-climate-resilient-infrastructure-viet-nam,3400000
ldcf-food-security-benin,3410000
ldcf-reducing-vulnerability-rwanda,3486000
ldcf-strengthening-adaptive-capacities-coastal-communities-haiti,3500000
ldcf_comoros,3740000
ldcf-cba-niger,3750000
spa-forestry-adaptation-armenia,3800000
ldcf-drought-zambia,3800000
ldcf-guinea,3816364
indias-second-national-communication-may-2012,3850000
af-northern-pakistan,3906000
bf-adaptation-strategies-mali,3952550
sccf-climate-resilient-zimbabwe,3980000
sccf-czm-egypt,4000000
ldcf-ews-sierraleone,4000000
ldcf-ews-zambia,4000000
ldcf-ews-s%C3%A3o-tom%C3%A9-and-pr%C3%ADncipe,4000000
ldcf-ews-burkina-faso,4000000
ldcf-ews-benin,4000000
ldcf-ews-malawi,4000000
ldcf-ews-tanzania,4000000
ldcf-ews-uganda,4000000
ldcf-sao-tome,4200000
ldcf2-tuvalu,4200000
af-djibouti,4293600
ldcf-increased-resilience-coastal-erosion-communities-mozambique,4433000
ldcf1-lao-pdr,4450000
ldcf-resilient-island-planning-maldives,4490000
spa-community-based-adaptation-project,4500000
ldcf-timor-leste,4600000
ldcf2-lao-pdr,4700000
ldcf-democratic-republic-congo,4725000
ldcf-effective-governance-small-scale-rural-infrastructure-and-disaster-preparedness,4820000
ldcf-ews-ethiopia,4900000
ldcf-ews-cambodia,4910285
ldcf2-malawi,4950000
sccf-indonesia,5000000
spa-lake-balaton-hungary,5060000
af-papua-new-guinea,5227530
ldcf-promoting-autonomous-adaptation-community-level-ethiopia,5310000
af-georgia,5316500
ldcf-eba-malawi,5318200
chinas-second-national-communication-progress,5350000
af-cook-islands,5381600
ldcf-yemen,5387400
af-el-salvador,5425000
ldcf-mali,5460000
af-mongolia,5500000
af-guatemala,5500000
af-nicaragua,5500950
af-solomon-islands,5553500
af-systemic-resilience-and-reduced-vulnerability-urban-poor-honduras,5620300
ldcf-cba-afforestation-bangladesh,5650000
af-fiji,5728800
ldcf2-timor-leste,5748750
ldcf-malawi,5850020
ldcf2-democratic-republic-congo,5863725
sccf-tunisia,6050000
af-cuba,6067320
ldcf2-sudan,6270000
ldcf-glof-nepal,6363500
af-seychelles,6455750
af-eritrea,6520000
ldcf-ews-liberia,6730000
ldcf-siwsap-si,6850000
ldcf-burkina-faso,7700000
af-myanmar,7909026
ldcf-ews-gambia,8000000
af-samoa,8048250
af-colombia,8518307
ldcf-burundi,8715000
ldcf-vanuatu,8833000
ldcf-enhancing-resilience-climate-change-vulnerable-coastal-communities-gambia,8900000
af-maldives,8989225
ldcf-comoros,8990909
ldcf-afghanistan,9000000
af-mauritius,9119240
ldcf-haiti,10002900
ldcf-glof-bhutan,11322548
ldcf-enhanced--capacity-bhutan,11491200
bf-philippines-nama,13000000
bf-egypt-nama,13000000
bf-kenya-nama,13000000
bf-colombia-nama,13000000
bf-uganda-nama,13000000
bf-morocco-nama,13000000
bf-mexico-nama,13000000
bf-ecuador-nama,13000000
bf-china-nama,13000000
bf-argentina-nama,13000000
bf-chile-nama,13000000
bf-peru-nama,13000000
bf-zambia-nama,13000000
bf-drc-nama,13000000
dc-low-emission-capacity-building-programme,17082786
ldcf-angola,28050000
sccf-wildfire-south-africa,35336400
africa-adaptation-programme,92100000
ldcf-guinea-bissau,4000000000
canada-undp-climate-change-adaptation-facility,not specified
ecca-africa,not specified
ecca,not specified
undp-climate-finance,not specified
south-sudan-national-adaptation-programme-action-napa,not specified
ecca-asia,not specified
trust-tonga-second-national-communication,not specified
trust-uruguay-second-national-communication,not specified
trust-jamaica-second-national-communication,not specified
trust-iran-second-national-communication,not specified
trust-indonesia-second-national-communication,not specified
trust-guinea-bissau-second-national-communication,not specified
trust-georgia-second-national-communication,not specified
trust-egypt-second-national-communication,not specified
trust-democratic-republic-congo-second-national-communictation,not specified
trust-dominican-republic-second-national-communication,not specified
trust-colombia-second-national-communication,not specified
trust-chile-second-national-communication,not specified
trust-cape-verde-second-national-communication,not specified
trust-burundi-second-national-communication,not specified
sccf-tourism-adaptation-maldives,not specified
spa-deforestation-india,not specified
dc-overall-tacc,not specified
bf-pacc,not specified
bf-pacc-nauru,not specified
dc-nigeria-tacc,not specified
dc-uganda-tacc,not specified
dc-senegal-tacc,not specified
dc-peru-tacc,not specified
